,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,split5_test_Accuracy,split6_test_Accuracy,split7_test_Accuracy,split8_test_Accuracy,split9_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1-Score,split1_test_F1-Score,split2_test_F1-Score,split3_test_F1-Score,split4_test_F1-Score,split5_test_F1-Score,split6_test_F1-Score,split7_test_F1-Score,split8_test_F1-Score,split9_test_F1-Score,mean_test_F1-Score,std_test_F1-Score,rank_test_F1-Score,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,split4_test_MCC,split5_test_MCC,split6_test_MCC,split7_test_MCC,split8_test_MCC,split9_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,split5_test_NPV,split6_test_NPV,split7_test_NPV,split8_test_NPV,split9_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV
0,0.4274962663650513,0.015772072967182502,0.13282973766326905,0.011207922953165604,gini,9,sqrt,0.34770629943240694,0.5247673705736541,369,"{'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 0.34770629943240694, 'min_samples_split': 0.5247673705736541, 'n_estimators': 369}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,156,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.0009041591320072538,123,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
1,0.14903368949890136,0.028488015254459223,0.06211392879486084,0.010155525549179222,entropy,5,sqrt,0.16375268291707995,0.18852076392668338,98,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.16375268291707995, 'min_samples_split': 0.18852076392668338, 'n_estimators': 98}",0.8024494142705005,0.8027876235908642,0.8142239084132055,0.7926338512379074,0.8018237486687966,0.8051728273325695,0.7940362087326943,0.8204501239239932,0.8065561767838128,0.8052061402339898,0.8045340023188334,0.007865903318604314,75,0.7522603978300181,0.7739602169981917,0.779385171790235,0.7522603978300181,0.7685352622061483,0.7540687160940326,0.755877034358047,0.7649186256781193,0.7631103074141049,0.7468354430379747,0.761121157323689,0.010050411017425138,54,0.7964338781575038,0.8169838945827234,0.8211143695014662,0.793984962406015,0.8095238095238095,0.8,0.7982062780269057,0.8065476190476191,0.8076358296622613,0.7922848664688428,0.8042715507377146,0.009248386894131032,88,0.49171580389715674,0.5382484590393953,0.5508934245158407,0.4904819641435746,0.5260383032749386,0.49522818338624064,0.49905511842687156,0.5174171565889223,0.515861200623881,0.4793143903906855,0.5104254004287507,0.021931489221386127,61,0.7668393782383419,0.8097826086956522,0.8206521739130435,0.7524752475247525,0.788659793814433,0.7754010695187166,0.766497461928934,0.7794871794871795,0.7945945945945946,0.7564766839378239,0.7810866191653472,0.021221879926404907,104
2,0.16563737392425537,0.029635167509574973,0.06511464118957519,0.008850146304040012,gini,4,sqrt,0.32669001523306584,0.32733695185174266,98,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 0.32669001523306584, 'min_samples_split': 0.32733695185174266, 'n_estimators': 98}",0.631017039403621,0.5476640993523971,0.5,0.5,0.580178381256656,0.6645990459185034,0.5669129392971246,0.6723076513071982,0.5,0.5,0.56626791565355,0.06573556983331619,155,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.0009041591320072538,123,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
3,0.2125478506088257,0.031081920458264543,0.06011357307434082,0.007982448289528671,entropy,7,sqrt,0.03841442327915478,0.062277579820924425,125,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 0.03841442327915478, 'min_samples_split': 0.062277579820924425, 'n_estimators': 125}",0.8261315228966986,0.8056258827918876,0.8169195953141641,0.8138341817018897,0.8139110756123535,0.8134077765637076,0.8039936102236421,0.8252271939876876,0.8230564430244942,0.8166191402606402,0.8158726422377164,0.007114764529551205,2,0.7649186256781193,0.779385171790235,0.786618444846293,0.7576853526220615,0.7685352622061483,0.7721518987341772,0.7649186256781193,0.7721518987341772,0.7703435804701627,0.7631103074141049,0.7699819168173598,0.007915395525583827,5,0.8059701492537313,0.8195266272189349,0.8249258160237388,0.7999999999999999,0.8100890207715133,0.8125,0.8053892215568862,0.8130563798219584,0.8118518518518518,0.8035982008995503,0.8106907267398166,0.0071153096914914555,4,0.5181908044360993,0.5485361589030462,0.5646114481837726,0.5020165732298435,0.5262925396094095,0.5326974795492531,0.5180219102819715,0.5329223764414307,0.5302692822183483,0.513291403762883,0.5286849976616057,0.017026640218720253,5,0.7806122448979592,0.806282722513089,0.8177083333333334,0.766497461928934,0.7916666666666666,0.7897435897435897,0.7777777777777778,0.7927461139896373,0.7958115183246073,0.77,0.7888846429175593,0.015014922388416613,68
4,0.49581170082092285,0.09100641845797892,0.1296292543411255,0.008054283877024733,gini,5,sqrt,0.3212627003799402,0.5320072889480915,348,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.3212627003799402, 'min_samples_split': 0.5320072889480915, 'n_estimators': 348}",0.7350572417465389,0.6959331609945901,0.7309970713525027,0.6709018468672547,0.7158479765708201,0.7033086373690802,0.6940628328008519,0.7283133011752793,0.7096845047923321,0.7316912293793141,0.7115797803048565,0.01977189743175822,143,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.0009041591320072538,123,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
5,0.43319728374481203,0.03423765862019359,0.11962704658508301,0.006682828449690212,entropy,2,sqrt,0.19459174490117276,0.47831750577187326,298,"{'criterion': 'entropy', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 0.19459174490117276, 'min_samples_split': 0.47831750577187326, 'n_estimators': 298}",0.8035742811501597,0.7990632412120566,0.8127995207667731,0.7921807957785891,0.8001797124600638,0.8025944087626256,0.7939896166134185,0.8143605255443328,0.8049454206602769,0.8013151933480799,0.8025002716296376,0.0067186805391505405,107,0.7486437613019892,0.7721518987341772,0.7739602169981917,0.7432188065099458,0.7613019891500904,0.7576853526220615,0.7576853526220615,0.7667269439421338,0.7631103074141049,0.7468354430379747,0.7591320072332731,0.009930944099635436,69,0.7958883994126283,0.8141592920353982,0.8175182481751825,0.7880597014925373,0.8041543026706233,0.8029411764705884,0.8029411764705883,0.809453471196455,0.8093158660844249,0.7941176470588235,0.8038549281067251,0.008738195890796486,92,0.4849299443342704,0.533477504612337,0.5399927313955369,0.4715261652126987,0.5109649761796642,0.5029443218234262,0.5040990125662513,0.5217955617380711,0.5171237566810929,0.47979590651186943,0.5066649881055219,0.021531334482579368,78,0.772972972972973,0.798941798941799,0.8176795580110497,0.7461928934010152,0.78125,0.7807486631016043,0.7849462365591398,0.7894736842105263,0.8044692737430168,0.7647058823529411,0.7841380963294065,0.019361292129790895,91
6,0.40359089374542234,0.1050179630242441,0.10162303447723389,0.0032006248985814363,entropy,3,sqrt,0.3878675668198336,0.323108993050043,254,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 0.3878675668198336, 'min_samples_split': 0.323108993050043, 'n_estimators': 254}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,156,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.0009041591320072538,123,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
7,0.4367983341217041,0.0541750013332606,0.10902447700500488,0.006325936552646415,entropy,5,log2,0.3196934757736867,0.2836901993299291,300,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 0.3196934757736867, 'min_samples_split': 0.2836901993299291, 'n_estimators': 300}",0.73080404685836,0.6990645737281135,0.7300851970181044,0.6932614663006689,0.7144435569755059,0.7042147482877169,0.6914936102236422,0.7299522959251659,0.7146498935037273,0.7312914745622685,0.7139260863383273,0.015331625267965086,141,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.0009041591320072538,123,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
8,0.3802856206893921,0.06517718452046653,0.09612171649932862,0.0039620536346035,gini,2,log2,0.25705419883035086,0.3772574336334528,254,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 'log2', 'min_samples_leaf': 0.25705419883035086, 'min_samples_split': 0.3772574336334528, 'n_estimators': 254}",0.8047523961661341,0.7860712096580764,0.8108493077742279,0.786910694773872,0.8092984558040468,0.7879300695573382,0.7821951544195952,0.8182114969485382,0.8019169329073482,0.8003024811448978,0.7988438199154074,0.011733917126881401,112,0.6835443037974683,0.6003616636528029,0.566003616636528,0.5678119349005425,0.566003616636528,0.6871609403254972,0.566003616636528,0.6021699819168174,0.6220614828209765,0.5678119349005425,0.6028933092224231,0.04530333519104592,118,0.7787610619469025,0.7372175980975029,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7767741935483872,0.7228637413394919,0.7393364928909952,0.7478890229191796,0.7243367935409457,0.7397243180503335,0.020726905387586515,118,0.3990779468869415,0.1856124769973377,0.0,0.0,0.0,0.38461973910238073,0.0,0.20220963693751043,0.2619966391060107,0.0,0.1433516439030181,0.15674233030424012,118,0.9333333333333333,0.8461538461538461,0.0,0.0,0.0,0.8586956521739131,0.0,0.9130434782608695,0.918918918918919,0.0,0.4470145228840881,0.44769255093014143,118
9,0.5814306259155273,0.039457954463752956,0.14153192043304444,0.004965998243345941,entropy,9,log2,0.2827281196413934,0.2257047403442716,386,"{'criterion': 'entropy', 'max_depth': 9, 'max_features': 'log2', 'min_samples_leaf': 0.2827281196413934, 'min_samples_split': 0.2257047403442716, 'n_estimators': 386}",0.7574148029818957,0.7511926018708526,0.7778354632587858,0.7379940303280657,0.7855497870074547,0.7244556671907896,0.732667731629393,0.7846987181195534,0.7483093716719914,0.7679556538656291,0.7568073827924412,0.02063474233202076,129,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.0009041591320072538,123,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
