,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_C,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1-Score,split1_test_F1-Score,split2_test_F1-Score,split3_test_F1-Score,mean_test_F1-Score,std_test_F1-Score,rank_test_F1-Score,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV
101,0.020504415035247803,0.0011182462639745777,0.04426008462905884,0.004323738661764015,sigmoid,1e-05,100.0,"{'kernel': 'sigmoid', 'gamma': 1e-05, 'C': 100.0}",0.8116347177848776,0.7985368973696133,0.810702875399361,0.7978839645017721,0.8046896137639061,0.006491659384670704,50,0.7396021699819169,0.72875226039783,0.7377938517179023,0.7233273056057866,0.7323688969258589,0.006644185559086386,28,0.8027397260273972,0.793956043956044,0.8084544253632762,0.7848101265822786,0.797490080482249,0.008958882213950121,26,0.4827314182423964,0.45378575386944997,0.5016322206599165,0.4346059491460494,0.46818883547945306,0.025812815325399037,26,0.8529411764705882,0.8201438848920863,0.9357798165137615,0.7756410256410257,0.8461264758793654,0.05858211194718226,2
102,0.016753673553466797,0.0004333254559658772,0.06151396036148071,0.0020617937187489234,rbf,0.0001,100.0,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 100.0}",0.8257854100106496,0.81111584894598,0.8211528221512246,0.8098366335314341,0.8169726786598221,0.006714972595660906,3,0.7703435804701627,0.7811934900542495,0.7902350813743219,0.759493670886076,0.7753164556962026,0.011534675246087747,2,0.8090225563909774,0.8207407407407409,0.8294117647058824,0.7987897125567324,0.8144911935985834,0.01159873680046705,4,0.5292079138542872,0.552216786370005,0.5736014998381842,0.5056365973902157,0.540165699363173,0.025374758115933958,3,0.7810945273631841,0.8072916666666666,0.8333333333333334,0.7572815533980582,0.7947502701903106,0.028444346702351367,16
103,0.01525336503982544,0.0008292578520499094,0.029006600379943848,0.0018712028602067372,sigmoid,0.0001,100.0,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'C': 100.0}",0.8234957401490948,0.8085041174746156,0.820167731629393,0.8073581536657516,0.8148814357297137,0.0070608272551712465,10,0.7613019891500904,0.7811934900542495,0.786618444846293,0.7613019891500904,0.7726039783001808,0.011463582579661824,9,0.8041543026706233,0.8223201174743027,0.8269794721407625,0.8006042296072508,0.8135145304732349,0.011326216816641707,6,0.5109649761796642,0.5533040392663324,0.5663799946176254,0.5094059605186574,0.5350137426455699,0.025261029211223,9,0.78125,0.8172043010752689,0.8315217391304348,0.7609756097560976,0.7977379124904502,0.02803393206277273,11
104,0.01900404691696167,0.0012251427731742326,0.05776304006576538,0.002165794460318623,rbf,0.001,100.0,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 100.0}",0.8269568690095848,0.808823921328252,0.8106096911608094,0.8091970258241612,0.8138968768307019,0.007569551875017878,14,0.7739602169981917,0.7739602169981917,0.7739602169981917,0.7667269439421338,0.7721518987341773,0.0031320991095278305,13,0.8125937031484258,0.8164464023494862,0.8159057437407953,0.8054298642533936,0.8125939283730252,0.004391283739706033,12,0.5369543914899317,0.5378514291095584,0.5386502534332854,0.5207559759728633,0.5335530125014097,0.007412687997469421,13,0.7889447236180904,0.8064516129032258,0.8074866310160428,0.7696078431372549,0.7931227026686535,0.015446572543274511,18
105,0.015503466129302979,0.0011185127477964993,0.023755371570587158,0.0008292219496040688,sigmoid,0.001,100.0,"{'kernel': 'sigmoid', 'gamma': 0.001, 'C': 100.0}",0.8285543130990414,0.8093036271087067,0.819475505857295,0.8100898115822295,0.8168558144118181,0.00785066847720223,6,0.7721518987341772,0.7757685352622061,0.7775768535262206,0.7685352622061483,0.773508137432188,0.003472489036106955,6,0.8102409638554215,0.8165680473372781,0.8204379562043795,0.8048780487804879,0.8130312540443918,0.005950391144651478,10,0.5329366372655325,0.5408591792792924,0.5477683792567424,0.5245830475034274,0.5365368108262487,0.008670131280696332,6,0.7821782178217822,0.8010471204188482,0.8232044198895028,0.7630331753554502,0.7923657333713958,0.022307933006344278,19
106,0.03250682353973389,0.002291772126688648,0.06476515531539917,0.0028621576531393162,rbf,0.01,100.0,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 100.0}",0.7697816826411077,0.7771899901393812,0.7637779552715654,0.8015750339791594,0.7780811655078035,0.014372015239722442,63,0.7522603978300181,0.7432188065099458,0.7197106690777577,0.7468354430379747,0.7405063291139241,0.012430132988126133,25,0.7970370370370371,0.7899408284023668,0.7690014903129656,0.7859327217125383,0.785478019366227,0.010310314227435783,29,0.49190329505763725,0.47176636266550803,0.42283271109195725,0.4796577915137885,0.4665400400822228,0.026234591481363374,29,0.7696335078534031,0.7539267015706806,0.717948717948718,0.7323943661971831,0.7434758233924962,0.01979821404168159,29
107,0.029006540775299072,0.0042433447193796015,0.02325505018234253,0.0019206671733199504,sigmoid,0.01,100.0,"{'kernel': 'sigmoid', 'gamma': 0.01, 'C': 100.0}",0.8090788072417464,0.7971777309916586,0.789776357827476,0.8086240439197292,0.8011642349951525,0.008121963487878244,56,0.755877034358047,0.759493670886076,0.7504520795660036,0.7685352622061483,0.7585895117540687,0.006582377838409181,23,0.7988077496274217,0.8029629629629631,0.7934131736526946,0.8006230529595015,0.7989517348006452,0.0035206408180184796,25,0.49919668536819906,0.5062114307776764,0.48758079489108586,0.5257833069092572,0.5046930544865547,0.013875731654246918,23,0.7692307692307693,0.7760416666666666,0.7575757575757576,0.7466666666666667,0.762378715034965,0.01122011317094394,28
108,0.02950650453567505,0.002061996126920482,0.08551949262619019,0.004975936454161511,rbf,0.1,100.0,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 100.0}",0.7865548455804047,0.7880233456813155,0.7721112886048989,0.7688750899448338,0.7788911424528632,0.008491425196576289,62,0.72875226039783,0.7341772151898734,0.7106690777576854,0.7142857142857143,0.7219710669077758,0.009769522054690009,32,0.766355140186916,0.7727975270479135,0.7444089456869009,0.7451612903225806,0.7571807258110778,0.01260594658299096,32,0.4443408462611358,0.45433688564743063,0.4110756123535676,0.420362753835251,0.4325290245243463,0.01748834594633724,32,0.7008928571428571,0.7090909090909091,0.6666666666666666,0.6639676113360324,0.6851545110591163,0.020070698781703252,32
109,0.012752830982208252,0.0008292219153289148,0.023255228996276855,0.0008292398774576333,sigmoid,0.1,100.0,"{'kernel': 'sigmoid', 'gamma': 0.1, 'C': 100.0}",0.6384451544195953,0.6456040295285559,0.6633386581469648,0.6260959944567333,0.6433709591379623,0.01347575196366295,76,0.6365280289330922,0.6184448462929476,0.6401446654611211,0.6003616636528029,0.623869801084991,0.0158679283677977,38,0.6773675762439807,0.6580226904376013,0.6875981161695448,0.6371100164203611,0.6650245998178719,0.019301317369293903,140,0.26125648580825894,0.22702441098354334,0.2638079925988264,0.19387074290721643,0.2364899080744613,0.028572932949977647,38,0.5802469135802469,0.556,0.5895196506550219,0.5348837209302325,0.5651625712913754,0.021339905044756115,38
110,0.030756652355194092,0.0054037566255870735,0.1052740216255188,0.006340634085411759,rbf,1.0,100.0,"{'kernel': 'rbf', 'gamma': 1.0, 'C': 100.0}",0.742052715654952,0.7520587373077846,0.7308972310969116,0.7169069637289128,0.7354789119471403,0.01307683604902365,72,0.566003616636528,0.5623869801084991,0.5641952983725136,0.5641952983725136,0.5641952983725136,0.0012786741070281047,138,0.7228637413394919,0.7199074074074073,0.7207415990730012,0.7213872832369941,0.7212250077642237,0.0010818428401119984,135,0.0,-0.06443375019698153,-0.015000188249805705,-0.05256217463724576,-0.03299902827100824,0.02638063943145494,138,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.14433756729740646,40
